posting_key,job_key,company_key,location_key,date_key,salary_min,salary_max,salary_avg,posting_count,posting_id
1,1,1,1,,0.0,0.0,0.0,1,1133826
2,2,2,2,,0.0,0.0,0.0,1,1133825
3,3,3,3,,0.0,0.0,0.0,1,1133890
4,4,3,4,,0.0,0.0,0.0,1,1133889
5,5,4,5,,0.0,0.0,0.0,1,1133812
6,6,5,6,,0.0,0.0,0.0,1,1133822
7,7,5,6,,0.0,0.0,0.0,1,1133823
8,8,6,7,,0.0,0.0,0.0,1,1133817
9,9,7,8,,0.0,0.0,0.0,1,1133848
10,10,8,9,,0.0,0.0,0.0,1,1133802
11,11,8,10,,0.0,0.0,0.0,1,1133824
12,12,9,11,,0.0,0.0,0.0,1,1133813
13,13,10,12,,0.0,0.0,0.0,1,1133749
14,14,11,13,,0.0,0.0,0.0,1,1133748
15,15,12,14,,0.0,0.0,0.0,1,1133840
16,16,13,15,,0.0,0.0,0.0,1,1133828
17,17,14,16,,0.0,0.0,0.0,1,1133811
18,18,15,17,,0.0,0.0,0.0,1,1133775
19,19,11,5,,0.0,0.0,0.0,1,1133744
20,20,16,18,,0.0,0.0,0.0,1,1133763
21,21,17,19,,0.0,0.0,0.0,1,1133814
22,22,3,20,,0.0,0.0,0.0,1,1133746
23,23,18,21,,0.0,0.0,0.0,1,1133856
24,24,18,21,,0.0,0.0,0.0,1,1133838
25,25,19,5,,0.0,0.0,0.0,1,1133737
26,26,20,22,,0.0,0.0,0.0,1,1133736
27,27,21,22,,0.0,0.0,0.0,1,1133734
28,28,22,23,,0.0,0.0,0.0,1,1133849
29,29,23,24,,0.0,0.0,0.0,1,1133855
30,30,24,25,,0.0,0.0,0.0,1,1133730
31,31,25,26,,0.0,0.0,0.0,1,1133729
32,32,26,27,,0.0,0.0,0.0,1,1133728
33,33,27,28,,0.0,0.0,0.0,1,1133829
34,34,27,29,,0.0,0.0,0.0,1,1133830
35,35,27,30,,0.0,0.0,0.0,1,1133847
36,36,27,31,,0.0,0.0,0.0,1,1133835
37,37,28,32,,0.0,0.0,0.0,1,1133820
38,38,29,33,,0.0,0.0,0.0,1,1133726
39,39,30,34,,0.0,0.0,0.0,1,1133731
40,40,30,35,,0.0,0.0,0.0,1,1133741
41,41,30,36,,0.0,0.0,0.0,1,1133740
42,42,31,37,,0.0,0.0,0.0,1,1133816
43,43,32,38,,0.0,0.0,0.0,1,1133756
44,44,33,5,,0.0,0.0,0.0,1,1133721
45,45,34,39,,0.0,0.0,0.0,1,1133739
46,46,35,40,,0.0,0.0,0.0,1,1133733
47,47,36,41,,0.0,0.0,0.0,1,1133714
48,48,37,42,,0.0,0.0,0.0,1,1133712
49,49,38,43,,0.0,0.0,0.0,1,1133803
50,50,39,44,,0.0,0.0,0.0,1,1133724
51,51,40,45,,0.0,0.0,0.0,1,1133719
52,52,41,46,,0.0,0.0,0.0,1,1133720
53,53,42,47,,0.0,0.0,0.0,1,1133738
54,54,43,48,,0.0,0.0,0.0,1,1133711
55,55,44,49,,0.0,0.0,0.0,1,1133882
56,56,45,50,,0.0,0.0,0.0,1,1133708
57,57,44,48,,0.0,0.0,0.0,1,1133833
58,58,46,51,,0.0,0.0,0.0,1,1133810
59,59,44,48,,0.0,0.0,0.0,1,1133836
60,60,47,52,,0.0,0.0,0.0,1,1133713
61,61,48,53,,0.0,0.0,0.0,1,1133806
62,62,39,44,,0.0,0.0,0.0,1,1133723
63,63,49,54,,0.0,0.0,0.0,1,1133805
64,64,16,55,,0.0,0.0,0.0,1,1133779
65,65,50,56,,0.0,0.0,0.0,1,1133698
66,66,51,23,,0.0,0.0,0.0,1,1133827
67,67,52,22,,0.0,0.0,0.0,1,1133697
68,68,53,57,,0.0,0.0,0.0,1,1133743
69,69,54,42,,0.0,0.0,0.0,1,1133696
70,70,55,58,,0.0,0.0,0.0,1,1133695
71,71,56,59,,0.0,0.0,0.0,1,1133809
72,72,56,59,,0.0,0.0,0.0,1,1133818
73,73,56,59,,0.0,0.0,0.0,1,1133808
74,74,57,41,,0.0,0.0,0.0,1,1133693
75,75,58,60,,0.0,0.0,0.0,1,1133692
76,76,59,60,,0.0,0.0,0.0,1,1133691
77,77,60,60,,0.0,0.0,0.0,1,1133690
78,78,61,61,,0.0,0.0,0.0,1,1133689
79,79,62,32,,0.0,0.0,0.0,1,1133710
80,80,63,62,,0.0,0.0,0.0,1,1133815
81,81,64,63,,0.0,0.0,0.0,1,1133716
82,82,65,5,,0.0,0.0,0.0,1,1133683
83,83,66,64,,0.0,0.0,0.0,1,1133682
84,84,67,5,,0.0,0.0,0.0,1,1133681
85,85,68,65,,0.0,0.0,0.0,1,1133747
86,86,69,5,,0.0,0.0,0.0,1,1133675
87,87,70,41,,0.0,0.0,0.0,1,1133671
88,88,71,66,,0.0,0.0,0.0,1,1133694
89,89,72,5,,0.0,0.0,0.0,1,1133667
90,90,73,67,,0.0,0.0,0.0,1,1133699
91,91,74,48,,0.0,0.0,0.0,1,1133676
92,92,75,16,,0.0,0.0,0.0,1,1133684
93,93,76,68,,0.0,0.0,0.0,1,1133735
94,94,77,69,,0.0,0.0,0.0,1,1133685
95,95,78,70,,0.0,0.0,0.0,1,1133678
96,96,79,71,,0.0,0.0,0.0,1,1133781
97,21,80,72,,0.0,0.0,0.0,1,1133679
98,97,81,73,,0.0,0.0,0.0,1,1133662
99,98,82,74,,0.0,0.0,0.0,1,1133706
100,99,83,75,,0.0,0.0,0.0,1,1133891
