posting_key,skill_name
2,Go
3,Excel
4,Excel
6,Go
7,Go
8,Excel
11,Go
16,Power BI
16,SQL
16,Snowflake
16,dbt
18,Excel
18,Go
18,TypeScript
20,Excel
20,Go
20,TypeScript
39,Excel
43,Excel
45,JavaScript
47,Excel
53,JavaScript
53,Power BI
53,SQL
55,Excel
60,Excel
64,Excel
64,Go
64,TypeScript
68,Excel
71,Excel
72,Excel
73,Excel
78,Docker
78,Excel
78,GCP
78,Java
85,Go
86,Excel
89,Go
91,Excel
94,Go
95,Excel
96,Excel
96,Go
96,Python
96,SQL
96,TypeScript
97,Excel
100,Excel
102,Excel
103,Excel
104,Excel
105,Excel
108,Python
108,SQL
109,Excel
109,Go
110,Excel
110,Go
115,Excel
115,PostgreSQL
116,Excel
116,PostgreSQL
119,Excel
119,PostgreSQL
120,Excel
120,Go
121,Excel
121,JavaScript
121,PostgreSQL
121,Python
122,Excel
122,JavaScript
122,PostgreSQL
122,Python
123,Docker
123,Excel
123,JavaScript
123,PostgreSQL
123,Python
18,PHP
20,PHP
121,Git
122,Git
64,PHP
123,Git
